City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,mount gambier,-37.8333,140.7667,15.97,52,60,5.74,AU,1696293684
291,kolonia,50.9333,6.95,21.35,77,0,1.54,DE,1696293596
292,freeport,40.6576,-73.5832,20.99,81,0,2.06,US,1696293685
293,changping,40.2186,116.2197,14.8,46,0,0.93,CN,1696293685
294,hajjah,15.6943,43.6058,19.89,43,0,1.53,YE,1696293685
295,ottappalam,10.7667,76.3833,23.91,98,41,0.57,IN,1696293685
296,dyersburg,36.0345,-89.3856,26.95,57,0,0.0,US,1696293686
297,tecuala,22.3986,-105.4569,28.17,81,15,2.2,MX,1696293686
298,sansepolcro,43.5747,12.143,20.5,63,17,0.45,IT,1696293686
299,akbarabad,29.2464,52.7793,17.79,31,0,0.33,IR,1696293686
300,kununurra,-15.7667,128.7333,31.99,55,5,3.6,AU,1696293687
301,san matias,-16.3667,-58.4,30.76,40,52,2.46,BO,1696293687
302,utrik,11.2278,169.8474,28.76,78,30,6.4,MH,1696293687
303,abashiri,44.0213,144.2697,17.16,55,75,3.6,JP,1696293687
304,puerto lempira,15.2667,-83.7667,30.08,70,40,3.6,HN,1696293687
305,solleftea,63.1667,17.2667,3.92,95,46,0.8,SE,1696293688
306,souillac,-20.5167,57.5167,21.21,88,20,2.57,MU,1696293688
307,holmsund,63.706,20.3641,4.97,100,100,1.54,SE,1696293688
308,healesville,-37.65,145.5167,18.03,98,100,4.05,AU,1696293688
309,aglona,56.1333,27.0167,10.94,89,100,3.46,LV,1696293689
310,itoman,26.1247,127.6694,30.21,91,75,5.14,JP,1696293689
311,kanniyakumari,8.0833,77.5667,26.01,87,100,6.67,IN,1696293561
312,sao jose da coroa grande,-8.8978,-35.1478,24.14,79,15,3.16,BR,1696293689
313,nizamabad,18.6667,78.1167,22.61,86,99,3.08,IN,1696293689
314,suntar,62.1444,117.6319,-2.71,87,29,1.79,RU,1696293690
315,forster,-32.1667,152.5167,30.21,55,0,5.97,AU,1696293690
316,tarija,-21.5355,-64.7296,21.95,43,45,2.06,BO,1696293690
317,amalapuram,16.5833,82.0167,25.52,90,91,1.83,IN,1696293691
318,ampanihy,-24.7,44.75,15.04,70,0,4.74,MG,1696293691
319,shenjiamen,29.9576,122.298,24.69,64,18,6.48,CN,1696293691
320,broome,42.2506,-75.833,19.25,93,0,0.71,US,1696293691
321,puning,23.3107,116.1687,27.68,78,17,0.64,CN,1696293692
